	treatment	replicate	temp_manip	ch4_manip	ch4_rate	RNA_extrac_pmoA
001	Grazed	1	no_inc	no_inc	NA	198157.528673788
002	Grazed	2	no_inc	no_inc	NA	258360.990553995
003	Exclosed	1	no_inc	no_inc	NA	96250.660783345
004	Exclosed	2	no_inc	no_inc	NA	79197.4010949932
005	Grazed	1	8	0.1	77.06	137664.640324215
006	Grazed	1	8	0.1	65.29	135197.38604103
007	Grazed	2	8	0.1	46.86	202860.078780613
008	Grazed	2	8	0.1	77.17	242252.224608776
009	Exclosed	1	8	0.1	24.79	96490.8038751068
010	Exclosed	1	8	0.1	29.92	154314.089420545
011	Exclosed	2	8	0.1	25.93	142541.988546831
012	Exclosed	2	8	0.1	26.91	152943.567739677
013	Grazed	1	8	1	266.95	203719.681717956
014	Grazed	1	8	1	248.07	181874.510232719
015	Grazed	2	8	1	196.74	285490.14685578
016	Grazed	2	8	1	270.01	116708.172968078
017	Exclosed	1	8	1	35.21	88728.0453002764
018	Exclosed	1	8	1	53.15	87146.1723417973
019	Exclosed	2	8	1	169.97	113625.603636019
020	Exclosed	2	8	1	84.04	100373.873717278
021	Grazed	1	15	0.1	56.5	138606.403013183
022	Grazed	1	15	0.1	72.98	135178.117048346
023	Grazed	2	15	0.1	63.64	143248.559786427
024	Grazed	2	15	0.1	66.02	430502.215657312
025	Exclosed	1	15	0.1	37.38	101038.450743755
026	Exclosed	1	15	0.1	30	108681.870811918
027	Exclosed	2	15	0.1	20.02	138154.903619111
028	Exclosed	2	15	0.1	40.24	151804.872839642
029	Grazed	1	15	1	282.97	246343.341031563
030	Grazed	1	15	1	286.18	241149.749373433
031	Grazed	2	15	1	327.53	190711.056309083
032	Grazed	2	15	1	434.98	175539.384654666
033	Exclosed	1	15	1	70.48	83104.9789272952
034	Exclosed	1	15	1	73.56	62605.011765355
035	Exclosed	2	15	1	50.3	88493.8048452711
036	Exclosed	2	15	1	64.03	91477.2159414922
